"Wrangler RT/S";"SUV Y CAMIONETA";"LT215/75R15";"S";"6.0";"216";"703";"106/103"
"Wrangler RT/S";"UTILITARIO";"LT215/75R15";"S";"6.0";"216";"703";"106/103"
"Wrangler RT/S";"SUV Y CAMIONETA";"LT215/80R16";"R";"6.0";"216";"750";"107"
"Wrangler RT/S";"UTILITARIO";"LT215/80R16";"R";"6.0";"216";"750";"107"
"Wrangler RT/S";"SUV Y CAMIONETA";"LT225/75R15";"S";"6.0";"223";"719";"108"
"Wrangler RT/S";"UTILITARIO";"LT225/75R15";"S";"6.0";"223";"719";"108"
"Wrangler RT/S";"SUV Y CAMIONETA";"LT235/60R16";"S";"7.0";"240";"688";"104"
"Wrangler RT/S";"UTILITARIO";"LT235/60R16";"S";"7.0";"240";"688";"104"
"Wrangler RT/S";"SUV Y CAMIONETA";"LT235/75R15";"S";"6.5";"235";"733";"110/107"
"Wrangler RT/S";"UTILITARIO";"LT235/75R15";"S";"6.5";"235";"733";"110/107"
"Wrangler RT/S";"SUV Y CAMIONETA";"LT235/75R15 OWL";"S";"6.5";"235";"733";"104"
"Wrangler RT/S";"UTILITARIO";"LT235/75R15 OWL";"S";"6.5";"235";"733";"104"
"Wrangler RT/S";"SUV Y CAMIONETA";"LT235/85R16";"P";"6.5";"236";"805";"120/116"
"Wrangler RT/S";"UTILITARIO";"LT235/85R16";"P";"6.5";"236";"805";"120/116"
"Wrangler RT/S";"SUV Y CAMIONETA";"LT255/75R15";"R";"7.0";"255";"763";"109/105"
"Wrangler RT/S";"UTILITARIO";"LT255/75R15";"R";"7.0";"255";"763";"109/105"
"Wrangler RT/S";"SUV Y CAMIONETA";"LT265/70R16";"S";"8.0";"272";"778";"110/107"
"Wrangler RT/S";"UTILITARIO";"LT265/70R16";"S";"8.0";"272";"778";"110/107"
"Wrangler RT/S";"SUV Y CAMIONETA";"LT265/75R16";"R";"7.0";"267";"804";"123/120"
"Wrangler RT/S";"UTILITARIO";"LT265/75R16";"R";"7.0";"267";"804";"123/120"
"Wrangler SR/A";"SUV Y CAMIONETA";"LT235/70R16";"S";"7.0";"240";"736";"110"
"Wrangler Adventure";"SUV Y CAMIONETA";"LT235/75R15";"S";"6.5";"235";"733";"110/107"
"Wrangler Adventure";"SUV Y CAMIONETA";"LT255/75R15";"S";"7.0";"255";"763";"109/105"
"Wrangler AT/S";"SUV Y CAMIONETA";"205/70R14C";"S";"6.0";"209";"644";"94"
"Wrangler AT/S";"UTILITARIO";"205/70R14C";"S";"6.0";"209";"644";"94"
"Wrangler AT/S";"SUV Y CAMIONETA";"205R16C";"S";"6.0";"208";"736";"110"
"Wrangler AT/S";"UTILITARIO";"205R16C";"S";"6.0";"208";"736";"110"
"Wrangler AT/S";"SUV Y CAMIONETA";"LT215/75R14 OWL";"Q";"6.0";"216";"678";"98"
"Wrangler AT/S";"UTILITARIO";"LT215/75R14 OWL";"Q";"6.0";"216";"678";"98"
"Wrangler AT/S";"SUV Y CAMIONETA";"LT215/75R15";"S";"6.0";"216";"703";"106/103"
"Wrangler AT/S";"UTILITARIO";"LT215/75R15";"S";"6.0";"216";"703";"106/103"
"Wrangler AT/S";"SUV Y CAMIONETA";"LT215/75R15 OWL";"Q";"6.0";"216";"703";"100"
"Wrangler AT/S";"UTILITARIO";"LT215/75R15 OWL";"Q";"6.0";"216";"703";"100"
"Wrangler AT/S";"SUV Y CAMIONETA";"LT215/80R16";"R";"6.0";"216";"750";"107"
"Wrangler AT/S";"UTILITARIO";"LT215/80R16";"R";"6.0";"216";"750";"107"
"Wrangler AT/S";"SUV Y CAMIONETA";"LT225/75R15";"S";"6.0";"223";"719";"108/104"
"Wrangler AT/S";"UTILITARIO";"LT225/75R15";"S";"6.0";"223";"719";"108/104"
"Wrangler AT/S";"SUV Y CAMIONETA";"LT235/75R15";"S";"6.5";"235";"733";"110/107"
"Wrangler AT/S";"UTILITARIO";"LT235/75R15";"S";"6.5";"235";"733";"110/107"
"Wrangler AT/S";"SUV Y CAMIONETA";"LT235/75R15 OWL";"S";"6.5";"235";"733";"110/107"
"Wrangler AT/S";"UTILITARIO";"LT235/75R15 OWL";"S";"6.5";"235";"733";"110/107"
"Wrangler AT/S";"SUV Y CAMIONETA";"LT255/75R15";"S";"7.0";"255";"763";"109/105"
"Wrangler AT/S";"UTILITARIO";"LT255/75R15";"S";"7.0";"255";"763";"109/105"
"Wrangler AT/S";"SUV Y CAMIONETA";"LT31X10.50R15 OWL";"S";"8.5";"267";"783";"109"
"Wrangler AT/S";"UTILITARIO";"LT31X10.50R15 OWL";"S";"8.5";"267";"783";"109"
"Wrangler AT/S";"SUV Y CAMIONETA";"P205/75R14 OWL XL";"Q";"6.0";"203";"664";"98"
"Wrangler AT/S";"UTILITARIO";"P205/75R14 OWL XL";"Q";"6.0";"203";"664";"98"
"Wrangler AT/S";"SUV Y CAMIONETA";"P215/80R16 OWL XL";"R";"6.0";"216";"750";"107"
"Wrangler AT/S";"UTILITARIO";"P215/80R16 OWL XL";"R";"6.0";"216";"750";"107"
"Wrangler AT/R";"SUV Y CAMIONETA";"LT225/75R16 OWL";"T";"6.0";"223";"744";"104"
"Wrangler AT/R";"SUV Y CAMIONETA";"LT245/75R16 OWL";"T";"7.0";"248";"774";"111"
"Wrangler AT/R";"SUV Y CAMIONETA";"LT265/70R16 OWL";"T";"8.0";"272";"778";"112"
"Wrangler AT/R";"SUV Y CAMIONETA";"LT265/75R16 OWL";"T";"7.5";"267";"804";"116"
"Wrangler RT";"SUV Y CAMIONETA";"LT215/75R14 OWL";"Q";"6.0";"216";"678";"98/95"
"Wrangler RT";"UTILITARIO";"LT215/75R14 OWL";"Q";"6.0";"216";"678";"98/95"
"Wrangler RT";"SUV Y CAMIONETA";"LT215/80R16";"Q";"6.0";"216";"750";"107"
"Wrangler RT";"UTILITARIO";"LT215/80R16";"Q";"6.0";"216";"750";"107"
"Wrangler RT";"SUV Y CAMIONETA";"LT235/75R15";"S";"6.5";"235";"733";"104"
"Wrangler RT";"UTILITARIO";"LT235/75R15";"S";"6.5";"235";"733";"104"
"Wrangler RT";"SUV Y CAMIONETA";"LT235/75R15 OWL";"Q";"6.5";"235";"733";"104"
"Wrangler RT";"UTILITARIO";"LT235/75R15 OWL";"Q";"6.5";"235";"733";"104"
"Wrangler RT";"SUV Y CAMIONETA";"LT31X10.50R15 OWL";"Q";"8.5";"267";"780";"109"
"Wrangler RT";"UTILITARIO";"LT31X10.50R15 OWL";"Q";"8.5";"267";"780";"109"
"Kelly Safari SJR";"SUV Y CAMIONETA";"LT205/70R14";"S";"6.0";"209";"644";"94"
"Kelly Safari SJR";"SUV Y CAMIONETA";"LT235/75R15";"S";"6.5";"235";"733";"104"
"Kelly Safari SJR";"SUV Y CAMIONETA";"LT31X10.50R15";"S";"8.5";"267";"780";"109"
"G22";"UTILITARIO";"LT7.00R16 C10";"M";"5.5";"198";"778";"113/112"
"G32";"UTILITARIO";"195/75R16C";"Q";"5.5";"196";"698";"107/105"
"G32";"UTILITARIO";"205/70R15C";"S";"6.0";"209";"669";"106/104"
"G32";"UTILITARIO";"205/75R16C";"Q";"5.5";"203";"714";"113/111"
"G32";"UTILITARIO";"225/75R16C";"N";"6.0";"223";"744";"118/116"
"G32";"UTILITARIO";"LT195/70R15";"R";"6.0";"201";"655";"104/102"
"G32";"UTILITARIO";"LT195/75R14";"R";"5.5";"196";"648";"106/104"
"G32";"UTILITARIO";"LT225/70R15";"P";"6.5";"228";"697";"112/110"
"G32";"UTILITARIO";"LT245/70R16";"S";"7.0";"248";"750";"106/103"
"G32";"UTILITARIO";"LT7.50R16 C12";"L";"6.0";"210";"802";"122/120"
"G46";"UTILITARIO";"185R14 8PR";"N";"5.5";"188";"650";"102/100"
"G46";"UTILITARIO";"LT185R14 C6";"N";"5.5";"188";"650";"99/97"
"G46";"UTILITARIO";"LT7.00R16 C10";"M";"5.5";"198";"778";"113/112"
"G49 ";"UTILITARIO";"LT7.50R16 C12";"L";"6.0";"210";"802";"122/120"
"Scout";"UTILITARIO";"6.50-16 C10";"L";"4.5";"176";"748";"107/103"
"Scout";"UTILITARIO";"6.50-16 C6";"L";"4.5";"176";"748";"98/97"
"Scout";"UTILITARIO";"7.00-16 C10";"L";"5.5";"202";"778";"113/112"
"Scout";"UTILITARIO";"7.00-16 C8";"L";"5.5";"202";"778";"104/103"
"Scout";"UTILITARIO";"7.50-16 C10";"J";"6.0";"210";"806";"116/114"
"Scout";"UTILITARIO";"7.50-16 C14";"G";"6.0";"210";"806";"122/120"
"CXG";"UTILITARIO";"6.50-16 C6";"L";"4.5";"176";"748";"98/97"
"CXG";"UTILITARIO";"7.50-16 C10";"J";"6.0";"210";"806";"116/114"
"CXG";"UTILITARIO";"7.50-16 C14";"G";"6.0";"210";"806";"122/120"
"G100 S&G";"UTILITARIO";"7.50-16 C12";"J";"6.0";"210";"806";"121/120"
